freq	dB(S(1,1))
2.18000000000000016E9	-3.50064241484054151E1
2.18999999999999995E9	-3.57985932986967281E1
2.20000000000000018E9	-3.66414782024177565E1
2.20999999999999996E9	-3.84751075902462336E1
2.21999999999999975E9	-4.01511297413419044E1
2.22999999999999998E9	-4.22208065515559294E1
2.23999999999999977E9	-4.46488172912266990E1
2.25000000000000000E9	-4.71414398080747787E1
2.26000000000000023E9	-4.80620598581055614E1
2.27000000000000002E9	-4.73439403869456132E1
2.28000000000000025E9	-4.52848555594224322E1
2.29000000000000004E9	-4.32557983503231913E1
2.29999999999999982E9	-4.12113442570517208E1
2.31000000000000005E9	-3.94652986126141059E1
2.31999999999999984E9	-3.79515674966386163E1
2.33000000000000007E9	-3.71111424917586996E1
2.33999999999999986E9	-3.62393203762866145E1
2.35000000000000009E9	-3.57111833989410865E1
2.36000000000000032E9	-3.53451748394669085E1
2.37000000000000011E9	-3.49377248155843123E1
2.37999999999999989E9	-3.44512432493634790E1
2.38999999999999968E9	-3.40113556638869818E1
2.39999999999999991E9	-3.33741441692654783E1
2.41000000000000014E9	-3.28727919756557307E1
2.41999999999999993E9	-3.23850300000000280E1
2.43000000000000016E9	-3.20788203459437771E1
2.43999999999999995E9	-3.16955844456140312E1
2.45000000000000018E9	-3.15600567240630747E1
2.45999999999999996E9	-3.14981311621638715E1
2.46999999999999975E9	-3.13306392850555326E1
2.47999999999999998E9	-3.11763008172704836E1
2.48999999999999977E9	-3.09707211496706636E1
2.50000000000000000E9	-3.06913410995952063E1
2.51000000000000023E9	-3.05151576160510896E1
2.52000000000000002E9	-3.01314550610045684E1
2.53000000000000025E9	-2.98369607721599328E1
2.54000000000000004E9	-2.95861015395433480E1
2.54999999999999982E9	-2.92779577757463816E1
2.56000000000000005E9	-2.89742041273609763E1
2.56999999999999984E9	-2.87061446395614261E1
2.58000000000000007E9	-2.84278533026246816E1
2.58999999999999986E9	-2.82922145233807099E1
2.60000000000000009E9	-2.81878018176322476E1
2.61000000000000032E9	-2.82625628616574609E1
2.62000000000000011E9	-2.83298583934482240E1
2.62999999999999989E9	-2.85092939220542085E1
2.63999999999999968E9	-2.86327470203243761E1
2.64999999999999991E9	-2.87969863341653509E1
2.66000000000000014E9	-2.90354706853872857E1
2.66999999999999993E9	-2.90974737017876439E1
2.68000000000000016E9	-2.92207644954428103E1
2.68999999999999995E9	-2.91303426868800841E1
2.70000000000000018E9	-2.91022848390077860E1
2.70999999999999996E9	-2.89964399999999856E1
2.71999999999999975E9	-2.89851910099270915E1
2.72999999999999998E9	-2.88248152596595553E1
2.73999999999999977E9	-2.86513232135960383E1
2.75000000000000000E9	-2.85675196553317479E1
2.76000000000000023E9	-2.85173441764967706E1
2.77000000000000002E9	-2.86481693039132468E1
2.78000000000000025E9	-2.88801951396603984E1
2.79000000000000004E9	-2.91343227710087538E1
2.79999999999999982E9	-2.94695141050474607E1
2.81000000000000005E9	-2.98187882307723129E1
2.81999999999999984E9	-3.01964083186907839E1
2.83000000000000007E9	-3.08044404496970481E1
2.83999999999999986E9	-3.14562476447073669E1
2.85000000000000009E9	-3.20809650001907709E1
2.86000000000000032E9	-3.26773031020621962E1
2.87000000000000011E9	-3.31015446604866881E1
2.87999999999999989E9	-3.35646225259931086E1
2.88999999999999968E9	-3.35990354047717243E1
2.89999999999999991E9	-3.37444869279556192E1
2.91000000000000014E9	-3.39789588053628933E1
2.91999999999999993E9	-3.39551645234782651E1
2.93000000000000016E9	-3.40983711756357533E1
2.93999999999999995E9	-3.42907466965723051E1
2.95000000000000018E9	-3.43092996764814950E1
2.95999999999999996E9	-3.46467436953860730E1
2.96999999999999975E9	-3.50329580148620456E1
2.97999999999999998E9	-3.55048865482314024E1
2.98999999999999977E9	-3.64019628157236497E1
3.00000000000000000E9	-3.69718200000000774E1


