"Freq [GHz]","dB(S(1,1)) [] - $Er='2.5'","dB(S(1,1)) [] - $Er='2.6'","dB(S(1,1)) [] - $Er='2.7'","dB(S(1,1)) [] - $Er='2.8'","dB(S(1,1)) [] - $Er='2.9'","dB(S(1,1)) [] - $Er='3'","dB(S(1,1)) [] - $Er='3.1'","dB(S(1,1)) [] - $Er='3.2'","dB(S(1,1)) [] - $Er='3.3'","dB(S(1,1)) [] - $Er='3.4'","dB(S(1,1)) [] - $Er='3.5'","dB(S(1,1)) [] - $Er='3.6'","dB(S(1,1)) [] - $Er='3.7'","dB(S(1,1)) [] - $Er='3.8'","dB(S(1,1)) [] - $Er='3.9'","dB(S(1,1)) [] - $Er='4'","dB(S(1,1)) [] - $Er='4.4'"
1.46,-24.9510174804059,-43.8490112799585,-40.5711893351564,-53.1393330520439,-49.2400580285018,-40.3563043163447,-38.2766412199029,-31.8486428673354,-33.4089103160386,-54.7011484162154,-34.6996745851438,-47.8881891787701,-34.6865426690873,-48.3064904617721,-40.3820451371392,-31.6420940803574,-45.1030901782056
1.47,-24.802022781853,-43.8353634753849,-40.2872362493022,-52.0946948447329,-49.670173194112,-40.5419419463135,-38.0133391628426,-31.7480372154383,-33.1938603514494,-55.6299225695999,-34.6070611404916,-49.0909281693475,-34.514198722091,-47.8545429128323,-39.9979711305301,-31.5972591564818,-45.1190821657573
1.48,-24.6605061855012,-43.8161030910264,-40.0160394702377,-51.1532493006944,-50.1285436111438,-40.7396688003261,-37.7622893847966,-31.6537786983381,-32.9892061795211,-55.9530749136891,-34.5267206980887,-50.454061808286,-34.3487208445386,-47.382991461224,-39.6327891855047,-31.5611993966349,-45.1310127725999
1.49,-24.5262477103879,-43.7921819404686,-39.7569973453523,-50.2990516252262,-50.6178935275486,-40.9497106393048,-37.5229583471128,-31.5658146047107,-32.7945101367078,-55.5062844495648,-34.458403810408,-51.9878470992458,-34.1899311501431,-46.9023690459486,-39.285329508245,-31.5338255708706,-45.1396359054522
1.5,-24.3990441304996,-43.764571155061,-39.5095527270899,-49.5191266706019,-51.1413998189256,-41.1723003595107,-37.294838601939,-31.4841022401404,-32.6093736386523,-54.4677048345039,-34.4018954342962,-53.6502220778972,-34.0376652678447,-46.4209462378478,-38.9545773653711,-31.5150673776282,-45.1457452572759
1.51,-24.2787075097428,-43.7342408592138,-39.2731899466385,-48.8029636921094,-51.7027831230714,-41.4076772600513,-37.077446376192,-31.4086092134799,-32.4334326368298,-53.1581035305659,-34.3570133300836,-55.2352948856996,-33.8917716554209,-45.9449806095663,-38.6396512062331,-31.5048730561719,-45.150163629538
1.52,-24.1650639066978,-43.7021425945855,-39.0474317573122,-48.1420151778248,-52.3064165538925,-41.6560852711441,-36.870319548689,-31.3393135288769,-32.2663536859225,-51.804677249985,-34.3236067769835,-56.2114454151784,-33.7521108982246,-45.479056748944,-38.339784175156,-31.5032090988619,-45.1537337065814
1.53,-24.0579522285067,-43.6691948404086,-38.8318363497405,-47.5292777388899,-52.9574513792077,-41.9177697418333,-36.6730159777638,-31.2762035165499,-32.1078305361274,-50.5129779728624,-34.301555577532,-55.9716592014733,-33.6185549994809,-45.0264299979113,-38.0543083075318,-31.5100600586855,-45.1573103972509
1.54,-23.9572232162479,-43.6362717325519,-38.6259945002522,-46.9589613671748,-53.6619526435274,-42.1929722552158,-36.485112136489,-31.2192776296981,-31.9575811793187,-49.3183199014642,-34.2907693302951,-54.6546438177046,-33.490986667261,-44.5893314097567,-37.7826408661173,-31.5254284488273,-45.16175475515
1.55,-23.8627385466607,-43.6041948858233,-38.4295268867297,-46.4262338668368,-54.4270219069428,-42.4819227645949,-36.3062020138801,-31.1685441303353,-31.8153452897514,-48.2252852436394,-34.2911869558801,-52.9248138862528,-33.3692986022935,-44.1692192681676,-37.524272397876,-31.5493347322933,-45.1679294024957
1.56,-23.7743700371807,-43.5737280787979,-38.2420815883436,-45.9270244797553,-55.2608465972247,-42.7848281114635,-36.1358962426596,-31.1240206831708,-31.6808820094286,-47.2270642794292,-34.3027764666006,-51.2073071679717,-33.2533927901101,-43.7669773482123,-37.2787561875132,-31.5818174007351,-45.1766953140074
1.57,-23.6919989430139,-43.545574466894,-38.06333177396,-45.4578727561769,-56.1725266216149,-43.1018556788324,-35.9738214169605,-31.0857338737712,-31.5539680358593,-46.3135874091279,-34.325534975101,-49.6408654168591,-33.1431798005669,-43.3830666292678,-37.0456988587953,-31.6229331426803,-45.1889097648427
1.58,-23.6155153364661,-43.5203759412358,-37.8929735766454,-45.0158116558175,-57.1713194856067,-43.4331105316309,-35.8196195665117,-31.0537186650051,-31.4343959760643,-45.4746695733261,-34.3594889419936,-48.2442184184371,-33.0385780974923,-43.0176390978209,-36.8247519340141,-31.6727571023516,-45.2054252067808
1.59,-23.54481756001,-43.4987142391173,-37.7307241471684,-44.5982765180806,-58.2644538242043,-43.7786038798144,-35.6729477571827,-31.0280178040686,-31.3219729356674,-44.701094535743,-34.4046946672217,-47.0010928416621,-32.9395133610441,-42.6706219800613,-36.6156042092524,-31.7313832311761,-45.2270888051091
1.6,-23.4798117456447,-43.4811134269896,-37.5763198767984,-44.2030336514288,-59.4515426929496,-44.1382100547412,-35.5334777911503,-31.0086811911265,-31.2165193159526,-43.9848812047774,-34.4612390345629,-45.8888443388933,-32.8459178252736,-42.3417795611206,-36.4179748410513,-31.7989247349262,-45.2547423397099
1.61,-23.4204113940219,-43.4680434098255,-37.4295147783668,-43.8281238893333,-60.7113559321781,-44.5116084179397,-35.4008959832764,-30.9957652196907,-31.1178677950813,-43.3192428660858,-34.5292405235489,-44.8865883558465,-32.7577296333741,-42.0307583589211,-36.2316070705342,-31.8755146201887,-45.2892221419267
1.62,-23.3665370076025,-43.4599241638277,-37.2900790140572,-43.4718176434145,-61.9738092294751,-44.8982057674528,-35.2749029934887,-30.9893320982055,-31.0258624723795,-42.6984463290298,-34.608850508229,-43.9769161028877,-32.6748922131005,-41.7371201287176,-36.0562625353297,-31.9613063445044,-45.3313586976863
1.63,-23.3181157727871,-43.4571304367829,-37.1577975584246,-43.1325788541617,-63.0753937727354,-45.2970340001484,-35.1552136979651,-30.9894491618573,-30.9403581568602,-42.1176526649463,-34.7002548677735,-43.1457664331784,-32.5973536748798,-41.4603660869344,-35.8917161386959,-32.0564745750018,-45.3819754901733
1.64,-23.275081286552,-43.4599967076199,-37.0324689855045,-42.8090358786442,-63.7422181767627,-45.7066173213889,-35.0415570847106,-30.9961881832961,-30.8612197830244,-41.5727695674832,-34.8036759400281,-42.3818678281274,-32.525066235165,-41.1999548749297,-35.7377514597826,-32.1612160606089,-45.4418865742188
