"Freq [GHz]","dB(S(1,1)) [] - $Er='2.5'","dB(S(1,1)) [] - $Er='2.6'","dB(S(1,1)) [] - $Er='2.7'","dB(S(1,1)) [] - $Er='2.8'","dB(S(1,1)) [] - $Er='2.9'","dB(S(1,1)) [] - $Er='3'","dB(S(1,1)) [] - $Er='3.1'","dB(S(1,1)) [] - $Er='3.2'","dB(S(1,1)) [] - $Er='3.3'","dB(S(1,1)) [] - $Er='3.4'","dB(S(1,1)) [] - $Er='3.5'","dB(S(1,1)) [] - $Er='3.6'","dB(S(1,1)) [] - $Er='3.7'","dB(S(1,1)) [] - $Er='3.8'","dB(S(1,1)) [] - $Er='3.9'","dB(S(1,1)) [] - $Er='4'","dB(S(1,1)) [] - $Er='4.4'"
2.01,-25.3970211391615,-50.0411175070635,-36.1731244946798,-35.9960293491137,-44.8919083463425,-41.6839776685819,-33.7552154189709,-36.5514304362831,-31.9708526158935,-33.5366070340313,-46.5620984692031,-32.5230531225326,-33.241566025305,-39.7383186771624,-36.1312153447842,-43.2154078739623,-42.2917200238803
2.02,-25.5690117021053,-50.5066341081341,-36.2340118433234,-35.8813470801031,-44.7663938129034,-41.4702380239383,-33.7880056201782,-36.8426567011545,-32.1183371339007,-33.5165391191263,-45.7213085971353,-32.5126187006054,-33.34720711774,-40.0074116502422,-36.4384806423687,-42.9667735801243,-41.843308898054
2.03,-25.7489066585012,-50.9937551373755,-36.298759833226,-35.7691642771982,-44.6507659326263,-41.2688789577012,-33.8244905404698,-37.136063093294,-32.2733763511732,-33.5036397569596,-44.8700000513329,-32.5095837626326,-33.4574147796344,-40.3158013191622,-36.7985372760789,-42.6148737944982,-41.4106378753362
2.04,-25.936975042624,-51.5003135832127,-36.3673376263472,-35.6594985213323,-44.5447376139456,-41.0796467069802,-33.8646820352323,-37.4297832596715,-32.4361311332772,-33.4977501598563,-44.03836253323,-32.5136169350752,-33.5722308305696,-40.6672545052546,-37.2156505198631,-42.1849710401916,-40.9937280914367
2.05,-26.133505244008,-52.0222482419031,-36.4397135567065,-35.5523725409456,-44.4480353708926,-40.9022976897688,-33.908585873451,-37.7215306254568,-32.6067667648538,-33.4987196676266,-43.2421538325083,-32.524404271891,-33.6917010736621,-41.0656994707628,-37.6912775949439,-41.7019858758982,-40.5923664350798
2.06,-26.3388064139712,-52.5527325942841,-36.5158547386154,-35.4478137475437,-44.3603968958357,-40.7365995439472,-33.9562010764844,-38.0085446123333,-32.7854531068121,-33.5064066900926,-42.4883328834605,-32.5416505794731,-33.815874782002,-41.5152237119707,-38.2226301120721,-41.1875160677376,-40.2061762725358
2.07,-26.5532099887188,-53.081067868839,-36.5957266434652,-35.3458537901312,-44.2815688980095,-40.5823315775156,-34.0075193060755,-38.2875485172239,-32.9723648180473,-33.5206796999768,-41.7788726429454,-32.5650806432082,-33.9448040554137,-42.020092359161,-38.8013517223497,-40.6586532729051,-39.8346708245808
2.08,-26.7770713292665,-53.5914555868362,-36.6792926428778,-35.2465281277458,-44.2113051761637,-40.439284818794,-34.0625243067722,-38.5547304258167,-33.1676816332378,-33.5414182716261,-41.113085107192,-32.5944403677774,-34.0785430374509,-42.5847949490283,-39.4127070838385,-40.1280368522011,-39.477293153797
2.09,-27.0107714733296,-54.0620107968111,-36.7665135159937,-35.1498756194233,-44.1493648975534,-40.3072618080678,-34.1211914070826,-38.8057617820523,-33.3715886819159,-33.5685141635895,-40.4889645750932,-32.6294978493051,-34.217146982997,-43.2141260937288,-40.0357484462071,-39.6045150255279,-39.1334459202875
2.1,-27.2547189865855,-54.4647594007833,-36.8573469186611,-35.0559381310351,-44.0955110586493,-40.1860762366474,-34.1834870826937,-39.035870237219,-33.5842768258077,-33.6018724456598,-39.9039381217616,-32.6700444027276,-34.3606711676038,-43.9132997503162,-40.6448768359224,-39.0939755116371,-38.8025133690681
2.11,-27.5093518892018,-54.7677011288271,-36.9517468123072,-34.9647601585538,-44.0495091055443,-40.0755525125324,-34.2493685839803,-39.2399824300928,-33.8059429808497,-33.6414126736145,-39.3552728121823,-32.7158955724791,-34.509169630822,-44.688084096874,-41.2129520847087,-38.6001187553593,-38.4838774433113
2.12,-27.7751396165616,-54.9397903321783,-37.0496628503233,-34.8763884674148,-44.0111256942118,-39.9755253115952,-34.3187836288272,-39.4129463855722,-34.0367903765963,-33.6870701175474,-38.8402883913662,-32.7668921589879,-34.6626937473164,-45.54491676223,-41.7155539383395,-38.1250896525829,-38.1769294673576
2.13,-28.0525849483677,-54.9582690016991,-37.1510397199006,-34.790871747759,-43.9801275726571,-39.8858391577606,-34.3916701605498,-39.5498308128067,-34.277028687953,-33.7387970523658,-38.3564612539235,-32.8229012977776,-34.8212906215594,-46.4909000438373,-42.1352800837454,-37.6699582208433,-37.881078494667
2.14,-28.3422258043458,-54.8155286490608,-37.2558164374141,-34.7082602854545,-43.956280568698,-39.8063480638596,-34.4679561694298,-39.6462802198804,-34.5268739509809,-33.7965641217673,-37.9014684794495,-32.883817632458,-34.9850013044224,-47.5334392842945,-42.4645616381777,-37.2350700526152,-37.5957571492878
2.15,-28.6446367526802,-54.5216851666326,-37.3639255957032,-34.6286056489054,-43.939348668703,-39.7369152557674,-34.5475595751603,-39.6988841652113,-34.7865481441481,-33.8603617898145,-37.473199494481,-32.9495646278659,-35.1538588330637,-48.6789727709039,-42.7059134178161,-36.8202949898342,-37.3204255872131
2.16,-28.960430001982,-54.1012193709383,-37.4752925619398,-34.5519603917638,-43.9290931741882,-39.6774129954538,-34.6303881663247,-39.7055031645071,-35.0562782764591,-33.9302018971421,-37.0697508673782,-33.0200960754228,-35.3278860991814,-49.9295210654141,-42.8697220398286,-36.4252003836128,-37.0545740512552
2.17,-29.2902555386672,-53.5858107252391,-37.5898346252486,-34.4783777717587,-43.9252719247847,-39.6277225132034,-34.7163395919789,-39.6654908308064,-35.3362947711813,-34.0061193418966,-36.6894129115604,-33.0953978498177,-35.5070935549822,-51.2742334042631,-42.9707600203226,-36.0491701999558,-36.7977243778624
2.18,-29.6347999140879,-53.0072146771011,-37.7074600938714,-34.4079114859463,-43.9276385778024,-39.5877340551437,-34.8053013994887,-39.5797665439976,-35.6268288641667,-34.0881739087842,-36.3306528986921,-33.1754899848485,-35.6914767711016,-52.6704543063243,-43.0248433109065,-35.691485976301,-36.5494307273861
2.19,-29.9947829577749,-52.3927036039061,-37.8280673424774,-34.340615422766,-43.9359419364771,-39.5573470491101,-34.89715111203,-39.4507229702686,-35.9281086434285,-34.176452273148,-35.9920974845858,-33.2604291472467,-35.8810138661985,-54.008099298803,-43.0465009099992,-35.3513812251486,-36.3092797435984
2.2,-30.3709513630044,-51.7633603869028,-37.951543811255,-34.2765434313507,-43.9499253210365,-39.5364703895874,-34.991756338607,-39.2819883429962,-36.2403532343669,-34.2710702108864,-35.6725157039032,-33.3503116012444,-36.075662833991,-55.0704075053939,-43.0478111693932,-35.0280775016941,-36.0768902984611
2.21,-30.7640676127863,-51.1342790167846,-38.0777649597202,-34.2157491085936,-43.9693259789951,-39.5250228408602,-35.0889749091159,-39.0780919609307,-36.5637644734934,-34.3721750493494,-35.3708031866182,-33.4452767744022,-36.2753588000423,-55.5734009486922,-43.0381268753784,-34.7208078817359,-35.8519129402593
2.22,-31.1748920226817,-50.5156197081473,-38.2065931797769,-34.158285604505,-43.9938745336032,-39.522933556489,-35.1886550268727,-38.8440938679037,-36.8985152009627,-34.4799483991956,-35.0859678574956,-33.5455115579235,-36.4800112475774,-55.3714534501394,-43.0243096103923,-34.4288318374762,-35.6340291342759
2.23,-31.6041546791249,-49.9138334573571,-38.3378766745204,-34.1042054464124,-44.0232944721567,-39.5301427127239,-35.2906354311582,-38.5852347863624,-37.244733024717,-34.5946092126625,-34.8171171668146,-33.6512555037985,-36.689501258889,-54.6107660190302,-43.0111732216696,-34.1514442661109,-35.4229503629864
2.24,-32.0525126215618,-49.3327385237909,-38.4714483116278,-34.0535603825531,-44.0573016789164,-39.5466022534196,-35.3947455627038,-38.3066455370829,-37.6024780510297,-34.7164172199139,-34.5634467898597,-33.762807118567,-36.9036788263599,-53.5724572480569,-43.0019564689247,-33.8879805694462,-35.2184171356414
2.25,-32.5204855889876,-48.7743566341016,-38.6071244629707,-34.006401245585,-44.0956040206869,-39.5722767443916,-35.5008057256464,-38.0131345322401,-37.9717126229135,-34.8456768021746,-34.3242306801874,-33.8805315018491,-37.122360294611,-52.4687686923111,-42.9987402062736,-33.6378190901384,-35.0201979438673
2.26,-33.0083608328469,-48.2395202830066,-38.7447038453546,-33.9627778365028,-44.1379009966278,-39.6071443359137,-35.6086272403103,-37.7090541707646,-38.3522605505199,-34.9827413683767,-34.0988123417538,-34.0048696404884,-37.3453260025844,-51.4056061074089,-43.0027821073598,-33.4003818009311,-34.828088189615
2.27,-33.5160537119575,-47.7282964864392,-38.8839663810578,-33.9227388293797,-44.1838834675778,-39.6511978331884,-35.718012582228,-37.3982353784911,-38.7437526646377,-35.1280183110872,-33.8865971828172,-34.1363497508966,-37.5723182012406,-50.4221114244519,-43.0147705119065,-33.1751338607978,-34.6419091037533
2.28,-34.0429060043971,-47.2402750200235,-39.0246721011145,-33.8863316972761,-44.2332334839772,-39.7044458761145,-35.8287555040586,-37.0839742871675,-39.1455548221499,-35.2819746276492,-33.6870458215212,-34.2756011693484,-37.803039328682,-49.5260882428174,-43.0350100869828,-32.9615824568152,-34.4615066673102
2.29,-34.5873985439548,-46.7747610222046,-39.1665601190427,-33.8536026595552,-44.2856242352791,-39.7669142315243,-35.9406411385079,-36.769054549475,-39.5566738632686,-35.4451433037067,-33.4996682243181,-34.4233714314116,-38.037150729542,-48.7127857754094,-43.0635542803389,-32.7592752157466,-34.2867505424301
2.3,-35.1467505427029,-46.3309018499122,-39.3093477078845,-33.8245966507244,-44.3407201473951,-39.8386472032829,-36.0534460819679,-36.45579102635,-39.9756367267795,-35.6181305684622,-33.3240185711369,-34.5805473696772,-38.2742719089331,-47.9733055929191,-43.1002980833662,-32.5677983760194,-34.1175330162446
2.31,-35.7163789742425,-45.9077694411018,-39.4527295189106,-33.7993573107904,-44.3981771580419,-39.9197091682548,-36.1669384603598,-36.1460838931594,-40.4003384723497,-35.8016241437497,-33.1596907539311,-34.7481813107511,-38.5139804125943,-47.2980651844186,-43.1450420082587,-32.3867748462096,-33.9537679578263
2.32,-36.2892066546001,-45.5044128670952,-39.59637698594,-33.7779269969603,-44.4576432026157,-40.0101862491907,-36.2808779805763,-35.8414755280255,-40.8278572117188,-35.9964026214916,-33.0063144271984,-34.9275237925135,-38.7558124234439,-46.6781067047817,-43.1975355662463,-32.2158622314614,-33.7953897860557
2.33,-36.854853617874,-45.1198910534677,-39.7399379647119,-33.760346816365,-44.5187589451403,-40.1101881391276,-36.395015972936,-35.5432053418858,-41.2542392946143,-36.2033461148835,-32.8635515398834,-35.1200646859071,-38.999264159816,-46.105502987102,-43.2575063255554,-32.0547508783978,-33.6423524444473
2.34,-37.3988467765729,-44.7532923894834,-39.8830366617582,-33.7466566792988,-44.5811587896012,-40.2198500960203,-36.5090954321804,-35.2522598242549,-41.6742684388157,-36.4234483350333,-32.7310932876529,-35.3275852423619,-39.2437941514216,-45.5734002371499,-43.3246789093079,-31.9031619678132,-33.4946283776761
2.35,-37.9021563057269,-44.4037457289801,-40.025273911336,-33.7368953722938,-44.6444722062461,-40.3393351311367,-36.6228510667186,-34.969416549626,-42.0812498922945,-36.6578302421356,-32.6086574328889,-35.5522244716866,-39.4888264547329,-45.0759263160097,-43.398787014256,-31.7608456698883,-33.3522075036474
2.36,-38.3415861866375,-44.0704257916599,-40.1662278616407,-33.7311006501495,-44.7083254048339,-40.4688364204248,-36.7360093680322,-34.6952818384498,-42.4668660797453,-36.9077554005425,-32.4959859469526,-35.7965644930884,-39.733754849329,-44.6080601788858,-43.4795806032617,-31.6275793668072,-33.2150961744313
2.37,-38.6916640956443,-43.7525549717707,-40.3054551321257,-33.729309345844,-44.7723433820121,-40.6085799747837,-36.8482887143426,-34.4303223304107,-42.8211904773552,-37.1746471164973,-32.3928429354514,-36.0637412514866,-39.9779480302494,-44.1655008250302,-43.5668297614738,-31.5031659410985,-33.0833161191885
2.38,-38.9283946729377,-43.4494028902981,-40.4424925015842,-33.7315574970514,-44.836152362671,-40.7588276132239,-36.9593995247642,-34.1748910266787,-43.1329704431236,-37.4601073321469,-32.2990128125031,-36.3575894835563,-40.220755778419,-43.7445496347663,-43.6603262363918,-31.3874321238029,-32.9569033623578
2.39,-39.0343178585249,-43.1602845776297,-40.5768591810176,-33.737880487778,-44.8993826450683,-40.9198802926315,-37.0690444821536,-33.9292484856335,-43.390284796266,-37.7659370489746,-32.21429869446,-36.6828343875841,-40.4615160521187,-43.3420096749605,-43.7598833500657,-31.2802268940017,-32.8359071108145
2.4,-39.0030784879086,-42.8845578726952,-40.7080597155117,-33.7483132034253,-44.9616718466277,-41.0920818597034,-37.1769188446312,-33.6935798805565,-43.5816187191712,-38.0941576875822,-32.1385209873229,-37.0453475653078,-40.6995628983173,-42.9551014373416,-43.8653347366051,-31.1814199198775,-32.7203886044628
2.41,-38.8412685189706,-42.6216204227371,-40.8355875448245,-33.7628901973667,-45.0226685317144,-41.2758233052054,-37.2827108672071,-33.4680085935668,-43.697261559894,-38.4470321362382,-32.0715161452544,-37.4524920533567,-40.934235035319,-42.5813930346875,-43.9765321903907,-31.0909000309885,-32.6104199257707
2.42,-38.5665126013687,-42.3709065324011,-40.9589292328011,-33.7816458669033,-45.0820361847009,-41.4715476187839,-37.386102355969,-33.2526069569272,-43.7307541210684,-38.8270830831426,-32.0131355802543,-37.9135911836119,-41.1648849103182,-42.2187425727543,-44.0933427888128,-31.0085737116025,-32.506082765085
2.43,-38.2028654311197,-42.1318840199409,-41.0775693510699,-33.8046146362384,-45.1394574718672,-41.679755365181,-37.4867693777593,-33.0474046786563,-43.6799853928802,-39.2371041880424,-31.9632447052743,-38.4405682892472,-41.3908879905624,-41.8652505570037,-44.2156453631127,-30.9343636056025,-32.4074671401715
2.44,-37.7757661922652,-41.9040511774382,-41.1909959731767,-33.8318311438633,-45.194638715017,-41.9010111312092,-37.5843831480459,-32.852395414387,-43.5475750309891,-39.6801560546903,-31.9217220948726,-39.04881477798,-41.6116520089474,-41.5192204832423,-44.3433263214574,-30.8682070245432,-32.3146700702742
2.45,-37.308322139036,-41.6869338912799,-41.2987067023531,-33.8633304314956,-45.2473144793024,-42.1359510290663,-37.6786111186283,-32.667541876997,-43.3404045664422,-40.1595326166149,-31.8884587489984,-39.7583344040032,-41.8266258582225,-41.1791260736276,-44.4762747723865,-30.8100544518192,-32.2277942070548
2.46,-36.8194551315556,-41.4800829521672,-41.4002151210857,-33.8991481314338,-45.2972521590083,-42.385291487961,-37.7691182847723,-32.4927798120883,-43.0684659908151,-40.678672307119,-31.8633574466816,-40.5951114796118,-42.0353078164969,-40.8435839050659,-44.6143768491317,-30.7598680375546,-32.1469464270096
2.47,-36.3235352413568,-41.28307156623,-41.495057515704,-33.9393206488893,-45.3442564294777,-42.649839625918,-37.8555687282093,-32.3280211116059,-42.7434053331838,-41.2409684844226,-31.8463321773293,-41.5921995349579,-42.2372527934467,-40.5113304209649,-44.7575090926579,-30.7176200806834,-32.0722363923097
2.48,-35.8308558411812,-41.0954930674025,-41.5827996970097,-33.9838853355224,-45.3881734224702,-42.9305055715957,-37.9376274080608,-32.1731562895057,-42.3771537265497,-41.8493985913105,-31.837307638004,-42.7882394561487,-42.4320783131653,-40.1812025191547,-44.9055307116585,-30.6832914967206,-32.0037750893975
2.49,-35.3484269639564,-40.9169588240602,-41.6630437114936,-34.0328806500278,-45.428894477419,-43.2283172083329,-38.0149622060989,-32.028056501755,-41.9809002663983,-42.5058312498157,-31.8362187855166,-44.214223179158,-42.619468995739,-39.8521210736349,-45.0582745005321,-30.6568702718759,-31.941673357023
2.5,-34.8807827129542,-40.7470963286521,-41.7354342199127,-34.0863463011868,-45.4663593233232,-43.5444379483011,-38.0872462258317,-31.8925752572558,-41.5644829667349,-43.2097717032184,-31.8430104323924,-45.8342256554541,-42.7991793630995,-39.5230768822607,-45.2155361624524,-30.6383499063826,-31.8860404176151
2.51,-34.4306704771943,-40.5855474567437,-41.7996643136011,-34.1443233683018,-45.5005585559697,-43.8801883261406,-38.1541603367807,-31.7665499357511,-41.1361447429527,-43.9561625504296,-31.8576368757974,-47.3446759191024,-42.9710348712613,-39.193118643198,-45.3770617566983,-30.6277278521482,-31.8369824278629
2.52,-33.9995887447639,-40.4319668808914,-41.8554805458052,-34.2068543933558,-45.531535292798,-44.2370724467871,-38.2153959461753,-31.6498032026931,-40.7025457437357,-44.7317127698431,-31.8800615483043,-47.8800186805026,-43.1349311548919,-38.8613426560213,-45.5425329725558,-30.6250039520162,-31.7946010660337
2.53,-33.5881854224759,-40.2860206246542,-41.9026869764836,-34.2739834385654,-45.5593859123248,-44.61681065745,-38.2706579704004,-31.5421443888646,-40.2689229708075,-45.5093126086103,-31.9102566789582,-46.7432036356253,-43.2908315545836,-38.5268840242051,-45.7115499347465,-30.6301788899791,-31.7589921747646
2.54,-33.1965434076352,-40.1473847425287,-41.9411480639836,-34.3457561022122,-45.5842598153185,-45.0213802772007,-38.3196679682689,-31.4433708837761,-39.8393136657849,-46.2411058657334,-31.9482029524258,-44.630855363171,-43.438763075411,-38.1889092095625,-45.8836112802599,-30.6432526635466,-31.7302444787672
2.55,-32.8243809950353,-40.0157441124643,-41.9707902840101,-34.422219484718,-45.6063581789886,-45.4530668664783,-38.3621673880579,-31.3532695761648,-39.4167890328473,-46.8540376447906,-31.9938891530705,-42.4381051531728,-43.5788109913431,-37.846609860877,-46.0580913321428,-30.6642230910428,-31.7084383969874
2.56,-32.4711904044609,-39.8907913287497,-41.9916024122498,-34.5034220958522,-45.6259317110817,-45.9145294392415,-38.3979208707754,-31.2716183620007,-39.0036693780036,-47.2572058356297,-32.0473117795528,-40.4948524048969,-43.7111123592659,-37.499197913765,-46.2342143575795,-30.6930843678383,-31.6936449682314
2.57,-32.1363323873078,-39.7722256843613,-42.0036344677891,-34.5894136927058,-45.6432774455549,-46.4088843446708,-38.426719543966,-31.1981877300312,-38.6017082623984,-47.3706418939469,-32.1084746139637,-38.8539546146696,-43.83584873613,-37.1459020425896,-46.4110261683627,-30.7298256863212,-31.6859249080661
2.58,-31.819100108461,-39.6597522332859,-42.0069953754214,-34.6802450365925,-45.6587346531022,-46.9398144788313,-38.4483842341093,-31.1327424268606,-38.2122429305782,-47.1661163517898,-32.1773882275181,-37.494728103328,-43.9532384025176,-36.7859656450845,-46.5873637411095,-30.7744299347355,-31.6853278129521
2.59,-31.5187617341297,-39.5530809248139,-42.0018494613841,-34.7759675553289,-45.6726799662291,-47.5117133538926,-38.4627685219115,-31.0750431976614,-37.8363131672166,-46.6849005013264,-32.2540694023876,-36.3830568734988,-44.063528387107,-36.4186466651817,-46.7618241443615,-30.8268724898138,-31.6918915250943
2.6,-31.2345883557713,-39.4519258033474,-41.9884119448345,-34.8766328953587,-45.6855218382975,-48.1298778718537,-38.4697615640064,-31.0248485946611,-37.4747527189862,-46.0131711378547,-32.3385404462821,-35.4849732317769,-44.1669865620343,-36.0432197209485,-46.9327348949959,-30.887120117386,-31.7056416684831
2.61,-30.965871866541,-39.3560042688354,-41.9669436232929,-34.9822923458866,-45.6976944680909,-48.8007702580932,-38.4692906070797,-30.9819168433345,-37.1282578171472,-45.2412133840456,-32.4308283727909,-34.7689236777667,-44.263894042943,-35.658981217766,-47.0981289369495,-30.95512999385,-31.7265913631517
2.62,-30.7119359866416,-39.2650363945541,-41.9377449724376,-35.0929961145412,-45.7096513257346,-49.5323798618972,-38.4613231263251,-30.9460077555384,-36.7974369815052,-44.4386253872147,-32.5309639161815,-34.2059725225512,-44.3545380839154,-35.2652584119502,-47.2557286965468,-31.0308488595779,-31.7547411209077
2.63,-30.4721426435591,-39.1787443005566,-41.9011498885364,-35.2087924310559,-45.7218584126072,-50.334731589408,-38.4458685292931,-30.9168846794469,-36.4828456520281,-43.6499451346841,-32.638980344203,-33.7699425079648,-44.4392056107364,-34.8614237729103,-47.4029449816555,-31.114212313041,-31.7900789218757
2.64,-30.2458952266149,-39.0968515827379,-41.8575192962454,-35.3297264520139,-45.7347873780614,-51.2206128747131,-38.4229793782315,-30.8943164778489,-36.185008529115,-42.9000501258197,-32.7549120263354,-33.4376542572921,-44.5181774897542,-34.4469165053615,-47.5368975788602,-31.2051442517536,-31.8325804672489
2.65,-30.0326397607005,-39.0190827990722,-41.8072348273894,-35.4558389358157,-45.7489086005757,-52.2066294509552,-38.3927520983168,-30.8780795289447,-35.9044319239526,-42.2009804682537,-32.8787927077161,-33.1890946172746,-44.5917235868983,-34.0212737759578,-47.6544648188591,-31.3035564631409,-31.8822095998573
2.66,-29.8318647163627,-38.9451630161683,-41.7506927502795,-35.587164652701,-45.7646843218128,-53.3147531482747,-38.355327154938,-30.8679597470197,-35.6416079708486,-41.5571684089082,-33.0106534305476,-33.0074041099111,-44.6600986342208,-33.584175082225,-47.7523685349011,-31.4093483652527,-31.9389188806674
2.67,-29.643099947095,-38.8748174208425,-41.6882982971054,-35.7237304898905,-45.7825619004683,-54.5745715390692,-38.3108886994725,-30.8637546240898,-35.3970122401107,-40.9688067230894,-33.1505200349934,-32.8786804545367,-44.7235388907896,-33.1355043382712,-47.8272981150383,-31.5224068939863,-32.00265030625
2.68,-29.4659150883108,-38.8077710028859,-41.6204605019418,-35.8655532067727,-45.8029672301837,-56.0263516869499,-38.2596636988107,-30.8652752976246,-35.1710960994408,-40.4338518499799,-33.2984101603288,-32.7916552679718,-44.7822595612641,-32.6754356288082,-47.8760723515784,-31.642606530273,-32.0733361497083
2.69,-29.2999176443499,-38.7437483165893,-41.5475876266354,-36.012636789647,-45.8262983434582,-57.7240767802868,-38.2019205782781,-30.8723486536257,-34.9642750797977,-39.9491677243942,-33.454329654381,-32.7373129632347,-44.8364529187938,-32.2045501078731,-47.895830703255,-31.7698094576508,-32.1508999056129
2.7,-29.1447509150999,-38.6824733298179,-41.4700832184928,-36.1649693500438,-45.8529192025211,-59.7321965829141,-38.1379674197566,-30.8848194785125,-34.7769144780166,-39.5111636089481,-33.6182682851482,-32.7085068398365,-44.8862870683459,-31.7239929016488,-47.8842374958739,-31.9038658378944,-32.2352573181888
2.71,-29.0000918621427,-38.6236693704727,-41.3883428139157,-36.32251950538,-45.883153659443,-62.0815103386499,-38.068149766062,-30.9025526773475,-34.6093134394483,-39.1161430335234,-33.7901946331797,-32.6996064351017,-44.9319052812619,-31.2356794375652,-47.8396755488048,-32.0446141900098,-32.3263174713542
2.72,-28.8656489787002,-38.5670591809494,-41.3027512769484,-36.4852321761458,-45.9172795521372,-64.5233275998742,-37.9928480886082,-30.9254355797989,-34.4616887749811,-38.7604901328941,-33.9700500273706,-32.7061922014144,-44.973425830742,-30.7425589862089,-47.7614022944298,-32.1918818559877,-32.4239839191956
2.73,-28.7411602031771,-38.5123650916627,-41.2136807415962,-36.6530237306512,-45.9555228910212,-65.8369577672696,-37.9124749779266,-30.9533803587769,-34.334159745929,-38.4407650613258,-34.1577413712415,-32.7248013797148,-45.0109422600119,-30.2489368652687,-47.6496437520049,-32.3454855353126,-32.5281558360334
2.74,-28.626390899405,-38.4593093247444,-41.1214891117817,-36.8257764075787,-45.9980520836777,-64.7109652852966,-37.8274721158448,-30.9863265897923,-34.2267349716644,-38.1537487473358,-34.3531326931454,-32.7527220446956,-45.0445240191831,-29.7608417078521,-47.5056102108354,-32.5052318693633,-32.6387291663134
2.75,-28.5211319154401,-38.4076144385888,-41.0265190625964,-37.0033319495753,-46.0449721426389,-62.3760289213567,-37.7383070844134,-31.0242439816008,-34.1393024630702,-37.8964595296942,-34.5560352447058,-32.7878291552518,-45.0742174124245,-29.2863951577787,-47.3314304207696,-32.670918056522,-32.7555977560682
2.76,-28.4251977253272,-38.357003922909,-40.9290974805442,-37.1854843897407,-46.0963188253873,-60.1057881889803,-37.6454700605528,-31.0671353104613,-34.0716235577042,-37.6661542981246,-34.7661959709498,-32.8284555748793,-45.1000468033249,-28.8360939331351,-47.1300149360437,-32.8423324790176,-32.8786544495235
2.77,-28.3384246534743,-38.3072029523169,-40.8295352780932,-37.3719719496202,-46.1520526670195,-58.1749200190262,-37.5494704375551,-31.1150395910879,-34.0233312420729,-37.4603212262099,-34.9832841886283,-32.8732913547171,-45.1220160326909,-28.4228511610161,-46.904870088058,-33.0192553232212,-33.0077921364899
2.78,-28.2606691783932,-38.2579393040871,-40.7281275183319,-37.5624680353575,-46.2120528862539,-56.5571265326359,-37.4508334057812,-31.168035516807,-33.993933017289,-37.2766680935716,-35.2068763439332,-32.9213054219012,-45.1401100090775,-28.0615867611655,-46.6598892041995,-33.2014591762454,-33.1429047383678
2.79,-28.1918063109897,-38.2089444426521,-40.6251537881841,-37.7565713619723,-46.2761111763545,-55.1878994612358,-37.3500965159052,-31.2262451991122,-33.9828181297016,-37.1131084661264,-35.4364387878873,-32.9716848097064,-45.1542964378084,-27.7681573626584,-46.3991466566601,-33.3887095832015,-33.2838881228199
2.8,-28.1317280419398,-38.159954769509,-40.5208787628423,-37.9537952989638,-46.3439254361156,-54.0125872544562,-37.2478062396171,-31.289838232191,-33.9892686832177,-36.9677470331969,-35.6713086209691,-33.023787515108,-45.1645276589295,-27.5575485595553,-46.1267146236115,-33.5807655512867,-33.430640939342
2.81,-28.0803418526849,-38.1107130326012,-40.4155529092947,-38.1535566188295,-46.4150935543145,-52.9903324468778,-37.1445145354465,-31.359036100373,-34.0124739062373,-36.838864852109,-35.910672835203,-33.0771058953745,-45.1707425683643,-27.4415540705513,-45.8465145745593,-33.7773799889215,-33.5830653700267
2.82,-28.0375692850193,-38.0609698839569,-40.3094132825969,-38.3551639488749,-46.4891074357931,-52.0911045048487,-37.0407754218559,-31.4341169349385,-34.0515466851488,-36.7249049375207,-36.1535462416447,-33.1312381977702,-45.1728685994876,-27.426541789558,-45.5622078203831,-33.9783000703965,-33.7410677916969
2.83,-28.0033445649856,-38.0104855685341,-40.2026843745353,-38.5578063802572,-46.565347549484,-51.2926046762553,-36.9371415563491,-31.5154206102573,-34.10554140736,-36.6244584501404,-36.3987490337699,-33.1858663628881,-45.1708237444456,-27.5120987327616,-45.2771235272337,-34.1832675188348,-33.9045593472579
2.84,-27.9776132777235,-37.9590317210314,-40.0955789802779,-38.7605428785234,-46.6430783876558,-50.5779799752644,-36.8341608183031,-31.6033541465425,-34.1734721761574,-36.5362516301755,-36.6448853180597,-33.2407386710591,-45.1645185959121,-27.6911147616709,-44.9942189309449,-34.3920188027048,-34.0734564255343
2.85,-27.9603310909621,-37.9063932411123,-39.9882990543284,-38.9622933642788,-46.7214453481635,-49.9342483944968,-36.7323728946045,-31.6983973561827,-34.2543305529445,-36.4591335530748,-36.8903245446179,-33.2956561337317,-45.1538583906946,-27.9512688265173,-44.7160649148206,-34.6042852435801,-34.2476810500147
2.86,-27.9514625259381,-37.8523702113591,-39.8810365324687,-39.1618325805782,-46.7994736804378,-49.3512248267756,-36.6323058708729,-31.8011086311362,-34.3471021283808,-36.3920647414536,-37.1331884701156,-33.3504617873852,-45.138745036839,-28.2773101321785,-44.4448500670357,-34.8197930353159,-34.4271611777991
2.87,-27.9509797756063,-37.7967798166544,-39.7739741013207,-39.3577881132521,-46.8760702589551,-48.8207819015486,-36.5344728368027,-31.9121307187517,-34.4507813989761,-36.3341066379368,-37.3713470176841,-33.4050322432374,-45.1190791057735,-28.6533452253205,-44.1823971868259,-35.0382631772848,-34.6118309106498
